speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,exoticCategory
wilsni1,Wilson's Snipe,Gallinago delicata,L3041917,Dixon Meadow Preserve,2025-04-05 10:39,2.0,40.1003152,-75.2402115,True,False,False,S223139098,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L3041917,Dixon Meadow Preserve,2025-04-05 10:39,1.0,40.1003152,-75.2402115,True,False,False,S223139098,
norfli,Northern Flicker,Colaptes auratus,L3041917,Dixon Meadow Preserve,2025-04-05 10:39,1.0,40.1003152,-75.2402115,True,False,False,S223139098,
fiscro,Fish Crow,Corvus ossifragus,L3041917,Dixon Meadow Preserve,2025-04-05 10:39,2.0,40.1003152,-75.2402115,True,False,False,S223139098,
eursta,European Starling,Sturnus vulgaris,L3041917,Dixon Meadow Preserve,2025-04-05 10:39,5.0,40.1003152,-75.2402115,True,False,False,S223139098,N
swaspa,Swamp Sparrow,Melospiza georgiana,L3041917,Dixon Meadow Preserve,2025-04-05 10:39,2.0,40.1003152,-75.2402115,True,False,False,S223139098,
greegr,Great Egret,Ardea alba,L3041917,Dixon Meadow Preserve,2025-04-05 07:58,1.0,40.1003152,-75.2402115,True,False,False,S223087265,
baleag,Bald Eagle,Haliaeetus leucocephalus,L3041917,Dixon Meadow Preserve,2025-04-05 07:58,2.0,40.1003152,-75.2402115,True,False,False,S223087265,
treswa,Tree Swallow,Tachycineta bicolor,L3041917,Dixon Meadow Preserve,2025-04-05 07:58,2.0,40.1003152,-75.2402115,True,False,False,S223087265,
houspa,House Sparrow,Passer domesticus,L3041917,Dixon Meadow Preserve,2025-04-05 07:58,1.0,40.1003152,-75.2402115,True,False,False,S223087265,N
rocpig,Rock Pigeon,Columba livia,L3041917,Dixon Meadow Preserve,2025-04-05 07:52,1.0,40.1003152,-75.2402115,True,False,False,S223088664,N
amecro,American Crow,Corvus brachyrhynchos,L3041917,Dixon Meadow Preserve,2025-04-05 07:52,2.0,40.1003152,-75.2402115,True,False,False,S223088664,
carwre,Carolina Wren,Thryothorus ludovicianus,L3041917,Dixon Meadow Preserve,2025-04-05 07:13,1.0,40.1003152,-75.2402115,True,False,False,S223148855,
easblu,Eastern Bluebird,Sialia sialis,L3041917,Dixon Meadow Preserve,2025-04-05 07:13,2.0,40.1003152,-75.2402115,True,False,False,S223148855,
amegfi,American Goldfinch,Spinus tristis,L3041917,Dixon Meadow Preserve,2025-04-05 07:13,4.0,40.1003152,-75.2402115,True,False,False,S223148855,
chispa,Chipping Sparrow,Spizella passerina,L3041917,Dixon Meadow Preserve,2025-04-05 07:13,1.0,40.1003152,-75.2402115,True,False,False,S223148855,
fiespa,Field Sparrow,Spizella pusilla,L3041917,Dixon Meadow Preserve,2025-04-05 07:13,2.0,40.1003152,-75.2402115,True,False,False,S223148855,
comgra,Common Grackle,Quiscalus quiscula,L3041917,Dixon Meadow Preserve,2025-04-05 07:13,2.0,40.1003152,-75.2402115,True,False,False,S223148855,
cangoo,Canada Goose,Branta canadensis,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,2.0,40.1003152,-75.2402115,True,False,False,S223473091,
mallar3,Mallard,Anas platyrhynchos,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,2.0,40.1003152,-75.2402115,True,False,False,S223473091,
turvul,Turkey Vulture,Cathartes aura,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,1.0,40.1003152,-75.2402115,True,False,False,S223473091,
norfli,Northern Flicker,Colaptes auratus,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,2.0,40.1003152,-75.2402115,True,False,False,S223473091,
amekes,American Kestrel,Falco sparverius,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,2.0,40.1003152,-75.2402115,True,False,False,S223473091,
amecro,American Crow,Corvus brachyrhynchos,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,1.0,40.1003152,-75.2402115,True,False,False,S223473091,
fiscro,Fish Crow,Corvus ossifragus,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,4.0,40.1003152,-75.2402115,True,False,False,S223473091,
eursta,European Starling,Sturnus vulgaris,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,83.0,40.1003152,-75.2402115,True,False,False,S223473091,N
normoc,Northern Mockingbird,Mimus polyglottos,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,2.0,40.1003152,-75.2402115,True,False,False,S223473091,
amerob,American Robin,Turdus migratorius,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,32.0,40.1003152,-75.2402115,True,False,False,S223473091,
houspa,House Sparrow,Passer domesticus,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,10.0,40.1003152,-75.2402115,True,False,False,S223473091,N
houfin,House Finch,Haemorhous mexicanus,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,6.0,40.1003152,-75.2402115,True,False,False,S223473091,N
fiespa,Field Sparrow,Spizella pusilla,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,1.0,40.1003152,-75.2402115,True,False,False,S223473091,
savspa,Savannah Sparrow,Passerculus sandwichensis,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,1.0,40.1003152,-75.2402115,True,False,False,S223473091,
sonspa,Song Sparrow,Melospiza melodia,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,8.0,40.1003152,-75.2402115,True,False,False,S223473091,
swaspa,Swamp Sparrow,Melospiza georgiana,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,1.0,40.1003152,-75.2402115,True,False,False,S223473091,
eastow,Eastern Towhee,Pipilo erythrophthalmus,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,1.0,40.1003152,-75.2402115,True,False,False,S223473091,
rewbla,Red-winged Blackbird,Agelaius phoeniceus,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,15.0,40.1003152,-75.2402115,True,False,False,S223473091,
bnhcow,Brown-headed Cowbird,Molothrus ater,L3041917,Dixon Meadow Preserve,2025-04-06 12:42,3.0,40.1003152,-75.2402115,True,False,False,S223473091,
wilsni1,Wilson's Snipe,Gallinago delicata,L3041917,Dixon Meadow Preserve,2025-04-06 11:31,1.0,40.1003152,-75.2402115,True,False,False,S223477127,
treswa,Tree Swallow,Tachycineta bicolor,L3041917,Dixon Meadow Preserve,2025-04-06 11:31,5.0,40.1003152,-75.2402115,True,False,False,S223477127,
carwre,Carolina Wren,Thryothorus ludovicianus,L3041917,Dixon Meadow Preserve,2025-04-06 11:31,2.0,40.1003152,-75.2402115,True,False,False,S223477127,
norcar,Northern Cardinal,Cardinalis cardinalis,L3041917,Dixon Meadow Preserve,2025-04-06 11:31,2.0,40.1003152,-75.2402115,True,False,False,S223477127,
comloo,Common Loon,Gavia immer,L3041917,Dixon Meadow Preserve,2025-04-06 08:41,1.0,40.1003152,-75.2402115,True,False,False,S223504813,
easpho,Eastern Phoebe,Sayornis phoebe,L3041917,Dixon Meadow Preserve,2025-04-06 08:41,1.0,40.1003152,-75.2402115,True,False,False,S223504813,
