species_code,common_name,scientific_name,location_id,location_name,observation_datetime,bird_count,latitude,longitude
balori,Baltimore Oriole,Icterus galbula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,3,39.9027901,-75.1819754
comgra,Common Grackle,Quiscalus quiscula,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,10,39.9027901,-75.1819754
comyel,Common Yellowthroat,Geothlypis trichas,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 11:00:00,1,39.9027901,-75.1819754
cangoo,Canada Goose,Branta canadensis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1,39.9027901,-75.1819754
moudov,Mourning Dove,Zenaida macroura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,4,39.9027901,-75.1819754
grbher3,Great Blue Heron,Ardea herodias,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1,39.9027901,-75.1819754
turvul,Turkey Vulture,Cathartes aura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,3,39.9027901,-75.1819754
baleag,Bald Eagle,Haliaeetus leucocephalus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1,39.9027901,-75.1819754
dowwoo,Downy Woodpecker,Dryobates pubescens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1,39.9027901,-75.1819754
grcfly,Great Crested Flycatcher,Myiarchus crinitus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1,39.9027901,-75.1819754
eursta,European Starling,Sturnus vulgaris,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,7,39.9027901,-75.1819754
houspa,House Sparrow,Passer domesticus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,4,39.9027901,-75.1819754
amegfi,American Goldfinch,Spinus tristis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,1,39.9027901,-75.1819754
sonspa,Song Sparrow,Melospiza melodia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,2,39.9027901,-75.1819754
norcar,Northern Cardinal,Cardinalis cardinalis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:51:00,2,39.9027901,-75.1819754
x00004,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:26:00,1,39.9027901,-75.1819754
easkin,Eastern Kingbird,Tyrannus tyrannus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:26:00,1,39.9027901,-75.1819754
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:26:00,10,39.9027901,-75.1819754
cedwax,Cedar Waxwing,Bombycilla cedrorum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:26:00,1,39.9027901,-75.1819754
rocpig,Rock Pigeon,Columba livia,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,1,39.9027901,-75.1819754
chiswi,Chimney Swift,Chaetura pelagica,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,3,39.9027901,-75.1819754
osprey,Osprey,Pandion haliaetus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,2,39.9027901,-75.1819754
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,1,39.9027901,-75.1819754
amekes,American Kestrel,Falco sparverius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,1,39.9027901,-75.1819754
eawpew,Eastern Wood-Pewee,Contopus virens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,3,39.9027901,-75.1819754
amecro,American Crow,Corvus brachyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,1,39.9027901,-75.1819754
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,1,39.9027901,-75.1819754
houwre,Northern House Wren,Troglodytes aedon,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,2,39.9027901,-75.1819754
carwre,Carolina Wren,Thryothorus ludovicianus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,1,39.9027901,-75.1819754
normoc,Northern Mockingbird,Mimus polyglottos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,1,39.9027901,-75.1819754
woothr,Wood Thrush,Hylocichla mustelina,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,1,39.9027901,-75.1819754
indbun,Indigo Bunting,Passerina cyanea,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-07 08:21:00,1,39.9027901,-75.1819754
mallar3,Mallard,Anas platyrhynchos,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,21,39.9027901,-75.1819754
moudov,Mourning Dove,Zenaida macroura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,2,39.9027901,-75.1819754
chiswi,Chimney Swift,Chaetura pelagica,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,1,39.9027901,-75.1819754
rthhum,Ruby-throated Hummingbird,Archilochus colubris,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,2,39.9027901,-75.1819754
doccor,Double-crested Cormorant,Nannopterum auritum,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,2,39.9027901,-75.1819754
leabit,Least Bittern,Botaurus exilis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,1,39.9027901,-75.1819754
grbher3,Great Blue Heron,Ardea herodias,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,1,39.9027901,-75.1819754
turvul,Turkey Vulture,Cathartes aura,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,3,39.9027901,-75.1819754
amekes,American Kestrel,Falco sparverius,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,1,39.9027901,-75.1819754
eawpew,Eastern Wood-Pewee,Contopus virens,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,1,39.9027901,-75.1819754
easkin,Eastern Kingbird,Tyrannus tyrannus,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,7,39.9027901,-75.1819754
treswa,Tree Swallow,Tachycineta bicolor,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,32,39.9027901,-75.1819754
nrwswa,Northern Rough-winged Swallow,Stelgidopteryx serripennis,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,5,39.9027901,-75.1819754
barswa,Barn Swallow,Hirundo rustica,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,1,39.9027901,-75.1819754
buggna,Blue-gray Gnatcatcher,Polioptila caerulea,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,1,39.9027901,-75.1819754
eursta,European Starling,Sturnus vulgaris,L1025768,Franklin Delano Roosevelt (FDR) Park,2026-06-09 14:40:00,5,39.9027901,-75.1819754
